"","bandno","date","bodreg","site","sex","urb.score","urbanization","mass","tarsus","wing","pvol","pvol.tars","nestid","B2","H1","FWHM","S1U","bodycond","julian","year"
"38","187321181",2022-04-28,"ba","Sam Smith","Female",-2.0141,"rural",183,32.81,"120",11.960192,0.364528863151478,"109",7.79044081472023,565.25,156.5,0.262706152930962,-1.86664842484858,117,2022
"39","187321181",2022-04-28,"be","Sam Smith","Female",-2.0141,"rural",183,32.81,"120",11.960192,0.364528863151478,"109",7.40234379407988,630.666666666667,337.166666666667,0.200886569713733,-1.86664842484858,117,2022
"40","187321181",2022-04-28,"rc","Sam Smith","Female",-2.0141,"rural",183,32.81,"120",11.960192,0.364528863151478,"109",5.89663591680161,635,163.666666666667,0.206384476033098,-1.86664842484858,117,2022
"41","187321181",2022-04-28,"rr","Sam Smith","Female",-2.0141,"rural",183,32.81,"120",11.960192,0.364528863151478,"109",4.54365113167226,623,285.333333333333,0.145367213649477,-1.86664842484858,117,2022
"42","187321181",2022-04-28,"th","Sam Smith","Female",-2.0141,"rural",183,32.81,"120",11.960192,0.364528863151478,"109",7.20463532234516,618.2,143,0.266385558896109,-1.86664842484858,117,2022
"43","187321183",2022-04-29,"ba","Sam Smith","Male",-2.0141,"rural",128,32.22,"120",5.93352,0.184156424581006,"110",5.01707992580831,587.571428571429,181.428571428571,0.225383841050675,-2.14836223987617,118,2022
"44","187321183",2022-04-29,"be","Sam Smith","Male",-2.0141,"rural",128,32.22,"120",5.93352,0.184156424581006,"110",6.42350188159302,542.666666666667,212.333333333333,0.241191225997608,-2.14836223987617,118,2022
"45","187321183",2022-04-29,"lc","Sam Smith","Male",-2.0141,"rural",128,32.22,"120",5.93352,0.184156424581006,"110",5.23253514907941,645,193.25,0.203231298580702,-2.14836223987617,118,2022
"46","187321183",2022-04-29,"rc","Sam Smith","Male",-2.0141,"rural",128,32.22,"120",5.93352,0.184156424581006,"110",4.61764983033522,642.8,232.2,0.202200104241512,-2.14836223987617,118,2022
"47","187321183",2022-04-29,"rr","Sam Smith","Male",-2.0141,"rural",128,32.22,"120",5.93352,0.184156424581006,"110",4.40017988655404,641,169,0.189033366797313,-2.14836223987617,118,2022
"48","187321184",2022-04-29,"ba","Sam Smith","Female",-2.0141,"rural",157,34.44,"122",10.6705533333333,0.309830236159504,"110",2.90240863446317,567,182,0.0954972314434262,-0.0909131374070793,118,2022
"49","187321184",2022-04-29,"lc","Sam Smith","Female",-2.0141,"rural",157,34.44,"122",10.6705533333333,0.309830236159504,"110",6.2393929171236,626.666666666667,193.333333333333,0.162528407815455,-0.0909131374070793,118,2022
"50","187321184",2022-04-29,"rc","Sam Smith","Female",-2.0141,"rural",157,34.44,"122",10.6705533333333,0.309830236159504,"110",6.51091661092065,632,241,0.23033536212498,-0.0909131374070793,118,2022
"51","187321184",2022-04-29,"rr","Sam Smith","Female",-2.0141,"rural",157,34.44,"122",10.6705533333333,0.309830236159504,"110",6.53760964897696,651.6,165.2,0.226408260023385,-0.0909131374070793,118,2022
"52","187321184",2022-04-29,"th","Sam Smith","Female",-2.0141,"rural",157,34.44,"122",10.6705533333333,0.309830236159504,"110",5.41414345474773,616.714285714286,172.285714285714,0.25041959845753,-0.0909131374070793,118,2022
"53","187321217",2022-05-10,"ba","Sam Smith","Female",-2.0141,"rural",183,34.71,"121",5.79787,0.167037453183521,"115",5.72461681439685,599.666666666667,141.333333333333,0.253487526603304,0.0333515751514195,129,2022
"54","187321217",2022-05-10,"be","Sam Smith","Female",-2.0141,"rural",183,34.71,"121",5.79787,0.167037453183521,"115",5.81449217336689,628,269.75,0.154141376112584,0.0333515751514195,129,2022
"55","187321217",2022-05-10,"lc","Sam Smith","Female",-2.0141,"rural",183,34.71,"121",5.79787,0.167037453183521,"115",5.21302433195476,645.285714285714,159.142857142857,0.216668871530915,0.0333515751514195,129,2022
"56","187321217",2022-05-10,"rc","Sam Smith","Female",-2.0141,"rural",183,34.71,"121",5.79787,0.167037453183521,"115",3.608914494304,637.666666666667,356,0.219930719736347,0.0333515751514195,129,2022
"57","187321217",2022-05-10,"rr","Sam Smith","Female",-2.0141,"rural",183,34.71,"121",5.79787,0.167037453183521,"115",3.62139082876992,629.5,188,0.110478017151447,0.0333515751514195,129,2022
"58","187321217",2022-05-10,"th","Sam Smith","Female",-2.0141,"rural",183,34.71,"121",5.79787,0.167037453183521,"115",3.31091255161047,575,90.1666666666667,0.283638420233571,0.0333515751514195,129,2022
"59","187321222",2022-05-17,"ba","Sam Smith","Male",-2.0141,"rural",200,33.37,"122",5.879144,0.176180521426431,"117",2.52942317224792,612,262.5,0.204312098788784,-1.40193688202188,136,2022
"60","187321222",2022-05-17,"be","Sam Smith","Male",-2.0141,"rural",200,33.37,"122",5.879144,0.176180521426431,"117",4.63111268627913,604,186.333333333333,0.207230061292348,-1.40193688202188,136,2022
"61","187321222",2022-05-17,"rc","Sam Smith","Male",-2.0141,"rural",200,33.37,"122",5.879144,0.176180521426431,"117",5.98986169997179,654.666666666667,139.666666666667,0.21740553117937,-1.40193688202188,136,2022
"62","187321221",2022-05-16,"ba","Sam Smith","Female",-2.0141,"rural",183,34.27,"120",14.05935,0.41025240735337,"117",4.66892714992502,618.5,157,0.154325642729238,-0.406648424848578,135,2022
"63","187321221",2022-05-16,"be","Sam Smith","Female",-2.0141,"rural",183,34.27,"120",14.05935,0.41025240735337,"117",4.12062770390637,617.285714285714,259.142857142857,0.176405225944559,-0.406648424848578,135,2022
"64","187321221",2022-05-16,"rc","Sam Smith","Female",-2.0141,"rural",183,34.27,"120",14.05935,0.41025240735337,"117",10.0734896859857,666,73,0.23827461161869,-0.406648424848578,135,2022
"65","187321221",2022-05-16,"rr","Sam Smith","Female",-2.0141,"rural",183,34.27,"120",14.05935,0.41025240735337,"117",4.40595809245812,645.5,181,0.0735185322071256,-0.406648424848578,135,2022
"66","187321221",2022-05-16,"th","Sam Smith","Female",-2.0141,"rural",183,34.27,"120",14.05935,0.41025240735337,"117",3.09425639653692,631.666666666667,259.666666666667,0.098717811501346,-0.406648424848578,135,2022
"67","187321226",2022-06-17,"ba","Big Shanty","Female",2.17321,"urban",188,35.29,"120",7.18833925925926,0.203693376572946,"120",3.62237035157595,629.25,188.25,0.185465563847437,0.585325558335744,167,2022
"68","187321226",2022-06-17,"be","Big Shanty","Female",2.17321,"urban",188,35.29,"120",7.18833925925926,0.203693376572946,"120",4.66499272208358,626.75,288,0.155427369733218,0.585325558335744,167,2022
